,index_id,Rev_Date,Date,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Year,Week
90,1-2011-10-28,2011-10-28,2011-10-28,1,1445249.09,0,66.57,3.372,217.6766791,7.866,10,2011,43
53,1-2011-11-02,2011-11-02,2011-11-02,1,1649614.93,1,36.39,3.022,212.9367046,7.742,11,2011,44
57,1-2011-11-03,2011-11-03,2011-11-03,1,1553191.63,0,53.56,3.459,214.1110564,7.742,11,2011,44
92,1-2011-11-11,2011-11-11,2011-11-11,1,1594938.89,0,59.11,3.297,217.9980849,7.866,11,2011,45
93,1-2011-11-18,2011-11-18,2011-11-18,1,1539483.7,0,62.25,3.308,218.2205088,7.866,11,2011,46
94,1-2011-11-25,2011-11-25,2011-11-25,1,2033320.66,1,60.14,3.236,218.4676211,7.866,11,2011,47
79,1-2011-12-08,2011-12-08,2011-12-08,1,1525147.09,0,90.76,3.638,215.6057878,7.962,12,2011,49
97,1-2011-12-16,2011-12-16,2011-12-16,1,1881176.67,0,51.63,3.159,219.1794533,7.866,12,2011,50
98,1-2011-12-23,2011-12-23,2011-12-23,1,2270188.99,0,47.96,3.112,219.3577216,7.866,12,2011,51
99,1-2011-12-30,2011-12-30,2011-12-30,1,1497462.72,1,44.55,3.129,219.5359898,7.866,12,2011,52
121,1-2012-01-06,2012-01-06,2012-01-06,1,1624477.58,0,77.95,3.501,221.7472139,7.143,1,2012,1
101,1-2012-01-13,2012-01-13,2012-01-13,1,1459601.17,0,48.53,3.261,219.8925263,7.348,1,2012,2
102,1-2012-01-20,2012-01-20,2012-01-20,1,1394393.84,0,54.11,3.268,219.9856893,7.348,1,2012,3
103,1-2012-01-27,2012-01-27,2012-01-27,1,1319325.59,0,54.26,3.29,220.0788523,7.348,1,2012,4
108,1-2012-02-03,2012-02-03,2012-02-03,1,1688420.76,0,60.96,3.63,220.8480454,7.348,2,2012,5
106,1-2012-02-17,2012-02-17,2012-02-17,1,1819870.0,0,45.32,3.51,220.4257586,7.348,2,2012,7
107,1-2012-02-24,2012-02-24,2012-02-24,1,1539387.83,0,57.25,3.555,220.636902,7.348,2,2012,8
104,1-2012-03-02,2012-03-02,2012-03-02,1,1636339.65,0,56.55,3.36,220.1720153,7.348,3,2012,9
130,1-2012-03-08,2012-03-08,2012-03-08,1,1631135.79,0,86.11,3.417,221.9498642,6.908,3,2012,10
110,1-2012-03-16,2012-03-16,2012-03-16,1,1677472.78,0,64.74,3.734,221.2118132,7.348,3,2012,11
111,1-2012-03-23,2012-03-23,2012-03-23,1,1511068.07,0,65.93,3.787,221.2864126,7.348,3,2012,12
112,1-2012-03-30,2012-03-30,2012-03-30,1,1649604.63,0,67.61,3.845,221.3610119,7.348,3,2012,13
117,1-2012-04-05,2012-04-05,2012-04-05,1,1684519.99,0,75.55,3.749,221.6718,7.143,4,2012,14
114,1-2012-04-13,2012-04-13,2012-04-13,1,1621031.7,0,69.07,3.891,221.5102105,7.143,4,2012,15
115,1-2012-04-20,2012-04-20,2012-04-20,1,1521577.87,0,66.76,3.877,221.5640737,7.143,4,2012,16
116,1-2012-04-27,2012-04-27,2012-04-27,1,1468928.37,0,67.23,3.814,221.6179368,7.143,4,2012,17
139,1-2012-05-10,2012-05-10,2012-05-10,1,1670785.97,0,68.55,3.617,223.1814772,6.573,5,2012,19
119,1-2012-05-18,2012-05-18,2012-05-18,1,1595901.87,0,70.33,3.63,221.742674,7.143,5,2012,20
120,1-2012-05-25,2012-05-25,2012-05-25,1,1555444.55,0,77.22,3.561,221.744944,7.143,5,2012,21
100,1-2012-06-01,2012-06-01,2012-06-01,1,1550369.92,0,49.01,3.157,219.7142581,7.348,6,2012,22
113,1-2012-06-04,2012-06-04,2012-06-04,1,1899676.88,0,70.43,3.891,221.4356112,7.143,6,2012,23
126,1-2012-06-07,2012-06-07,2012-06-07,1,1769854.16,0,81.57,3.227,221.8837789,6.908,6,2012,23
123,1-2012-06-15,2012-06-15,2012-06-15,1,1630607.0,0,79.35,3.393,221.7626421,7.143,6,2012,24
124,1-2012-06-22,2012-06-22,2012-06-22,1,1527845.81,0,78.39,3.346,221.8030211,7.143,6,2012,25
125,1-2012-06-29,2012-06-29,2012-06-29,1,1540421.49,0,84.88,3.286,221.8434,7.143,6,2012,26
135,1-2012-07-09,2012-07-09,2012-07-09,1,1661767.33,1,83.96,3.73,222.4390153,6.908,7,2012,28
127,1-2012-07-13,2012-07-13,2012-07-13,1,1527014.04,0,77.12,3.256,221.9241579,6.908,7,2012,28
128,1-2012-07-20,2012-07-20,2012-07-20,1,1497954.76,0,80.42,3.311,221.9327267,6.908,7,2012,29
129,1-2012-07-27,2012-07-27,2012-07-27,1,1439123.71,0,82.66,3.407,221.9412954,6.908,7,2012,30
122,1-2012-08-06,2012-08-06,2012-08-06,1,1697230.96,0,78.3,3.452,221.7494839,7.143,8,2012,32
132,1-2012-08-17,2012-08-17,2012-08-17,1,1597868.05,0,84.85,3.571,222.0384109,6.908,8,2012,33
133,1-2012-08-24,2012-08-24,2012-08-24,1,1494122.38,0,77.66,3.62,222.1719457,6.908,8,2012,34
134,1-2012-08-31,2012-08-31,2012-08-31,1,1582083.4,0,80.49,3.638,222.3054805,6.908,8,2012,35
109,1-2012-09-03,2012-09-03,2012-09-03,1,1675431.16,0,58.76,3.669,221.0591887,7.348,9,2012,36
136,1-2012-09-14,2012-09-14,2012-09-14,1,1517428.87,0,74.97,3.717,222.5820193,6.908,9,2012,37
137,1-2012-09-21,2012-09-21,2012-09-21,1,1506126.06,0,69.87,3.721,222.7818386,6.908,9,2012,38
138,1-2012-09-28,2012-09-28,2012-09-28,1,1437059.26,0,76.08,3.666,222.9816579,6.908,9,2012,39
105,1-2012-10-02,2012-10-02,2012-10-02,1,1802477.43,1,48.02,3.409,220.2651783,7.348,10,2012,40
131,1-2012-10-08,2012-10-08,2012-10-08,1,1592409.97,0,85.05,3.494,221.9584329,6.908,10,2012,41
141,1-2012-10-19,2012-10-19,2012-10-19,1,1508068.77,0,67.97,3.594,223.4257233,6.573,10,2012,42
142,1-2012-10-26,2012-10-26,2012-10-26,1,1493659.74,0,69.16,3.506,223.4442513,6.573,10,2012,43
118,1-2012-11-05,2012-11-05,2012-11-05,1,1611096.05,0,73.77,3.688,221.7256632,7.143,11,2012,45
140,1-2012-12-10,2012-12-10,2012-12-10,1,1573072.81,0,62.99,3.601,223.3812965,6.573,12,2012,50
177,2-2010-01-10,2010-01-10,2010-01-10,2,1827440.43,0,69.24,2.603,211.3298742,8.163,1,2010,1
151,2-2010-02-04,2010-02-04,2010-02-04,2,2066187.72,0,63.27,2.719,210.4798874,8.2,2,2010,5
164,2-2010-02-07,2010-02-07,2010-02-07,2,2003940.64,0,82.74,2.669,210.8803726,8.099,2,2010,5
145,2-2010-02-19,2010-02-19,2010-02-19,2,2124451.54,0,39.69,2.514,210.9451605,8.324,2,2010,7
146,2-2010-02-26,2010-02-26,2010-02-26,2,1865097.27,0,46.1,2.561,210.9759573,8.324,2,2010,8
173,2-2010-03-09,2010-03-09,2010-03-09,2,1904608.09,0,81.83,2.577,211.1886931,8.099,3,2010,10
186,2-2010-03-12,2010-03-12,2010-03-12,2,2015781.27,0,49.33,2.708,211.265543,8.163,3,2010,10
149,2-2010-03-19,2010-03-19,2010-03-19,2,1946070.88,0,54.52,2.72,210.8733316,8.324,3,2010,11
150,2-2010-03-26,2010-03-26,2010-03-26,2,1750197.81,0,51.26,2.732,210.6766095,8.324,3,2010,12
160,2-2010-04-06,2010-04-06,2010-04-06,2,2102539.93,0,81.81,2.705,210.833616,8.2,4,2010,14
153,2-2010-04-16,2010-04-16,2010-04-16,2,1874957.94,0,68.07,2.808,210.1495463,8.2,4,2010,15
154,2-2010-04-23,2010-04-23,2010-04-23,2,1821990.93,0,65.11,2.795,210.1000648,8.2,4,2010,16
155,2-2010-04-30,2010-04-30,2010-04-30,2,1802450.29,0,66.98,2.78,210.0505833,8.2,4,2010,17
143,2-2010-05-02,2010-05-02,2010-05-02,2,2136989.46,0,40.19,2.572,210.7526053,8.324,5,2010,17
147,2-2010-05-03,2010-05-03,2010-05-03,2,1991013.13,0,47.17,2.625,211.0067542,8.324,5,2010,18
182,2-2010-05-11,2010-05-11,2010-05-11,2,1939061.41,0,57.85,2.689,211.6135053,8.163,5,2010,19
157,2-2010-05-14,2010-05-14,2010-05-14,2,1880752.36,0,73.31,2.854,209.9984585,8.2,5,2010,19
158,2-2010-05-21,2010-05-21,2010-05-21,2,1896937.1,0,74.83,2.826,210.2768443,8.2,5,2010,20
159,2-2010-05-28,2010-05-28,2010-05-28,2,1957113.89,0,81.13,2.759,210.5552301,8.2,5,2010,21
169,2-2010-06-08,2010-06-08,2010-06-08,2,1991909.98,0,89.53,2.627,211.1608049,8.099,6,2010,23
162,2-2010-06-18,2010-06-18,2010-06-18,2,2001636.96,0,85.81,2.637,211.1096543,8.2,6,2010,24
163,2-2010-06-25,2010-06-25,2010-06-25,2,1939927.09,0,86.26,2.653,210.9950134,8.2,6,2010,25
156,2-2010-07-05,2010-07-05,2010-07-05,2,2042581.71,0,71.28,2.835,210.0011018,8.2,7,2010,27
166,2-2010-07-16,2010-07-16,2010-07-16,2,1845879.79,0,85.32,2.623,210.7577954,8.099,7,2010,28
167,2-2010-07-23,2010-07-23,2010-07-23,2,1781717.71,0,87.66,2.608,210.8921319,8.099,7,2010,29
168,2-2010-07-30,2010-07-30,2010-07-30,2,1804246.16,0,83.49,2.64,211.0264684,8.099,7,2010,30
178,2-2010-08-10,2010-08-10,2010-08-10,2,1849921.44,0,63.19,2.633,211.4044906,8.163,8,2010,32
170,2-2010-08-13,2010-08-13,2010-08-13,2,1895601.05,0,89.05,2.692,211.2951413,8.099,8,2010,32
171,2-2010-08-20,2010-08-20,2010-08-20,2,1964335.23,0,88.7,2.664,211.2596586,8.099,8,2010,33
172,2-2010-08-27,2010-08-27,2010-08-27,2,1863840.49,0,87.12,2.619,211.2241759,8.099,8,2010,34
152,2-2010-09-04,2010-09-04,2010-09-04,2,1954689.21,0,65.41,2.77,210.2831653,8.2,9,2010,35
165,2-2010-09-07,2010-09-07,2010-09-07,2,1880902.62,0,82.59,2.642,210.7657317,8.099,9,2010,36
175,2-2010-09-17,2010-09-17,2010-09-17,2,1793903.6,0,82.05,2.582,211.1806415,8.099,9,2010,37
176,2-2010-09-24,2010-09-24,2010-09-24,2,1724557.22,0,81.79,2.624,211.2552578,8.099,9,2010,38
174,2-2010-10-09,2010-10-09,2010-10-09,2,1839128.83,1,79.09,2.565,211.1532104,8.099,10,2010,40
187,2-2010-10-12,2010-10-12,2010-10-12,2,2378726.55,0,45.5,2.843,211.1247993,8.163,10,2010,41
179,2-2010-10-15,2010-10-15,2010-10-15,2,1794355.49,0,65.8,2.72,211.4713286,8.163,10,2010,41
180,2-2010-10-22,2010-10-22,2010-10-22,2,1737947.64,0,68.5,2.725,211.5187208,8.163,10,2010,42
181,2-2010-10-29,2010-10-29,2010-10-29,2,1802755.11,0,66.24,2.716,211.5661131,8.163,10,2010,43
161,2-2010-11-06,2010-11-06,2010-11-06,2,2025538.76,0,83.4,2.668,211.1120018,8.2,11,2010,44
184,2-2010-11-19,2010-11-19,2010-11-19,2,1956739.17,0,50.81,2.771,211.5470304,8.163,11,2010,46
185,2-2010-11-26,2010-11-26,2010-11-26,2,2658725.29,1,62.98,2.735,211.4062867,8.163,11,2010,47
144,2-2010-12-02,2010-12-02,2010-12-02,2,2137809.5,1,38.49,2.548,210.8979935,8.324,12,2010,48
148,2-2010-12-03,2010-12-03,2010-12-03,2,1990483.78,0,57.56,2.667,211.037551,8.324,12,2010,48
183,2-2010-12-11,2010-12-11,2010-12-11,2,1916812.74,0,59.69,2.728,211.6608975,8.163,12,2010,49
188,2-2010-12-17,2010-12-17,2010-12-17,2,2609166.75,0,47.55,2.869,211.0645458,8.163,12,2010,50
189,2-2010-12-24,2010-12-24,2010-12-24,2,3436007.68,0,49.97,2.886,211.0646599,8.163,12,2010,51
190,2-2010-12-31,2010-12-31,2010-12-31,2,1750434.55,1,47.3,2.943,211.064774,8.163,12,2010,52
203,2-2011-01-04,2011-01-04,2011-01-04,2,1800171.36,0,55.43,3.524,214.4886908,7.931,1,2011,1
216,2-2011-01-07,2011-01-07,2011-01-07,2,1866243.0,0,85.69,3.524,214.8368678,7.852,1,2011,1
192,2-2011-01-14,2011-01-14,2011-01-14,2,1744193.58,0,33.02,2.983,211.1176713,8.028,1,2011,2
193,2-2011-01-21,2011-01-21,2011-01-21,2,1751384.9,0,41.4,3.016,211.4864691,8.028,1,2011,3
194,2-2011-01-28,2011-01-28,2011-01-28,2,1695371.68,0,42.83,3.01,211.8552668,8.028,1,2011,4
225,2-2011-02-09,2011-02-09,2011-02-09,2,1809119.7,0,89.64,3.533,215.4508632,7.852,2,2011,6
238,2-2011-02-12,2011-02-12,2011-02-12,2,1954952.0,0,48.74,3.172,218.3590319,7.441,2,2011,6
197,2-2011-02-18,2011-02-18,2011-02-18,2,2080884.82,0,57.83,3.045,212.9033115,8.028,2,2011,7
198,2-2011-02-25,2011-02-25,2011-02-25,2,1833511.08,0,60.8,3.065,213.190421,8.028,2,2011,8
212,2-2011-03-06,2011-03-06,2011-03-06,2,1933756.21,0,83.07,3.699,214.9254865,7.931,3,2011,9
201,2-2011-03-18,2011-03-18,2011-03-18,2,1902557.66,0,62.32,3.488,214.0156238,8.028,3,2011,11
202,2-2011-03-25,2011-03-25,2011-03-25,2,1766162.05,0,69.42,3.473,214.2521573,8.028,3,2011,12
195,2-2011-04-02,2011-04-02,2011-04-02,2,1929346.23,0,38.25,2.989,212.2240646,8.028,4,2011,13
199,2-2011-04-03,2011-04-03,2011-04-03,2,1981607.78,0,57.77,3.288,213.4775305,8.028,4,2011,13
234,2-2011-04-11,2011-04-11,2011-04-11,2,1959707.9,0,55.53,3.332,217.4853605,7.441,4,2011,15
205,2-2011-04-15,2011-04-15,2011-04-15,2,1856467.84,0,69.48,3.743,214.9420631,7.931,4,2011,15
206,2-2011-04-22,2011-04-22,2011-04-22,2,1886339.6,0,69.39,3.807,215.1096657,7.931,4,2011,16
207,2-2011-04-29,2011-04-29,2011-04-29,2,1745545.28,0,69.21,3.81,215.2772683,7.931,4,2011,17
221,2-2011-05-08,2011-05-08,2011-05-08,2,1876704.26,0,93.34,3.684,215.1978515,7.852,5,2011,18
209,2-2011-05-13,2011-05-13,2011-05-13,2,1838513.07,0,74.61,3.899,215.6124735,7.931,5,2011,19
210,2-2011-05-20,2011-05-20,2011-05-20,2,1688281.86,0,67.14,3.907,215.3834778,7.931,5,2011,20
211,2-2011-05-27,2011-05-27,2011-05-27,2,1797732.56,0,76.42,3.786,215.1544822,7.931,5,2011,21
208,2-2011-06-05,2011-06-05,2011-06-05,2,1837743.6,0,61.48,3.906,215.4448709,7.931,6,2011,22
214,2-2011-06-17,2011-06-17,2011-06-17,2,1953771.99,0,86.53,3.637,214.6513538,7.931,6,2011,24
215,2-2011-06-24,2011-06-24,2011-06-24,2,1790925.8,0,85.17,3.594,214.7441108,7.931,6,2011,25
191,2-2011-07-01,2011-07-01,2011-07-01,2,1758050.79,0,44.69,2.976,211.0648881,8.028,7,2011,26
230,2-2011-07-10,2011-07-10,2011-07-10,2,1837553.43,0,69.92,3.285,216.6958311,7.441,7,2011,27
218,2-2011-07-15,2011-07-15,2011-07-15,2,1785187.29,0,89.83,3.575,215.0134426,7.852,7,2011,28
219,2-2011-07-22,2011-07-22,2011-07-22,2,1743816.41,0,89.34,3.651,215.0749122,7.852,7,2011,29
220,2-2011-07-29,2011-07-29,2011-07-29,2,1680693.06,0,90.07,3.682,215.1363819,7.852,7,2011,30
204,2-2011-08-04,2011-08-04,2011-08-04,2,1847552.61,0,67.0,3.622,214.7252242,7.931,8,2011,31
217,2-2011-08-07,2011-08-07,2011-08-07,2,1853161.99,0,87.7,3.48,214.9296249,7.852,8,2011,31
223,2-2011-08-19,2011-08-19,2011-08-19,2,1844094.59,0,89.86,3.554,215.3229307,7.852,8,2011,33
224,2-2011-08-26,2011-08-26,2011-08-26,2,1821139.91,0,90.45,3.523,215.386897,7.852,8,2011,34
226,2-2011-09-09,2011-09-09,2011-09-09,2,1748000.65,1,77.97,3.546,215.5148295,7.852,9,2011,36
239,2-2011-09-12,2011-09-12,2011-09-12,2,2290549.32,0,41.76,3.158,218.605037,7.441,9,2011,37
227,2-2011-09-16,2011-09-16,2011-09-16,2,1691439.52,0,78.85,3.526,215.6944378,7.852,9,2011,37
228,2-2011-09-23,2011-09-23,2011-09-23,2,1669299.78,0,75.58,3.467,216.0282356,7.852,9,2011,38
229,2-2011-09-30,2011-09-30,2011-09-30,2,1650394.44,0,78.14,3.355,216.3620333,7.852,9,2011,39
213,2-2011-10-06,2011-10-06,2011-10-06,2,1929153.16,0,83.4,3.648,214.6964908,7.931,10,2011,40
