index,index_id,Rev_Date,Date,Store, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Year,Week,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12, Linear Regression , Random Forest Regressor ,Linear_Regression_Root Mean Squared Error,Linear_Regression_R-squared,RF_Root Mean Squared Error,RF_R-squared
20,1-2010-09-24,9/24/2010,9/24/2010,1,"$1,351,791.03 ",0,80.94,2.624,211.5972246,7.787,9,2010,38,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
21,1-2010-10-09,10/9/2010,10/9/2010,1,"$1,507,460.69 ",1,78.69,2.565,211.4951902,7.787,10,2010,40,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
22,1-2010-10-12,10/12/2010,10/12/2010,1,"$1,682,614.26 ",0,46.33,2.843,211.4659526,7.838,10,2010,41,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
23,1-2010-10-15,10/15/2010,10/15/2010,1,"$1,459,409.10 ",0,67.18,2.72,211.8137436,7.838,10,2010,41,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
24,1-2010-10-22,10/22/2010,10/22/2010,1,"$1,345,454.00 ",0,69.86,2.725,211.8612937,7.838,10,2010,42,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
25,1-2010-10-29,10/29/2010,10/29/2010,1,"$1,384,209.22 ",0,69.64,2.716,211.9088438,7.838,10,2010,43,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
26,1-2010-11-06,11/6/2010,11/6/2010,1,"$1,542,561.09 ",0,80.43,2.668,211.4560951,7.808,11,2010,44,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
27,1-2010-11-19,11/19/2010,11/19/2010,1,"$1,483,784.18 ",0,51.41,2.771,211.8896737,7.838,11,2010,46,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,4842.73,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
28,1-2010-11-26,11/26/2010,11/26/2010,1,"$1,955,624.11 ",1,64.52,2.735,211.7484333,7.838,11,2010,47,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,-63937.57,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
29,1-2010-12-02,12/2/2010,12/2/2010,1,"$1,641,957.44 ",1,38.51,2.548,211.2421698,8.106,12,2010,48,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,96275.61,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
30,1-2010-12-03,12/3/2010,12/3/2010,1,"$1,439,541.59 ",0,57.79,2.667,211.3806429,8.106,12,2010,48,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,655.65,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
31,1-2010-12-11,12/11/2010,12/11/2010,1,"$1,494,479.49 ",0,59.61,2.728,212.003944,7.838,12,2010,49,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,-115695.51,1452520.95 ,1627935.70 ,38654.71 ,0.96 ,99265.35 ,0.72 
32,1-2010-12-17,12/17/2010,12/17/2010,1,"$1,891,034.93 ",0,49.84,2.869,211.4053124,7.838,12,2010,50,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,-78587.64,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
33,1-2010-12-24,12/24/2010,12/24/2010,1,"$2,387,950.20 ",0,52.33,2.886,211.4051222,7.838,12,2010,51,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,155669.66,2264938.00 ,2023113.31 ,38654.71 ,0.96 ,99265.35 ,0.72 
34,1-2010-12-31,12/31/2010,12/31/2010,1,"$1,367,320.01 ",1,48.43,2.943,211.4049321,7.838,12,2010,52,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,175153.57,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
35,1-2011-01-04,1/4/2011,1/4/2011,1,"$1,495,064.75 ",0,59.17,3.524,214.8371664,7.682,1,2011,1,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,-223205.16,1454028.87 ,1627392.71 ,38654.71 ,0.96 ,99265.35 ,0.72 
36,1-2011-01-07,1/7/2011,1/7/2011,1,"$1,488,538.09 ",0,85.55,3.524,215.1841368,7.962,1,2011,1,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,-113955.1,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
37,1-2011-01-14,1/14/2011,1/14/2011,1,"$1,391,013.96 ",0,35.4,2.983,211.4574109,7.742,1,2011,2,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,38755.22,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
38,1-2011-01-21,1/21/2011,1/21/2011,1,"$1,327,405.42 ",0,44.04,3.016,211.8272343,7.742,1,2011,3,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,158351.87,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
39,1-2011-01-28,1/28/2011,1/28/2011,1,"$1,316,899.31 ",0,43.83,3.01,212.1970577,7.742,1,2011,4,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,-58776.91,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
40,1-2011-02-09,2/9/2011,2/9/2011,1,"$1,550,229.22 ",0,87.83,3.533,215.7971409,7.962,2,2011,6,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,471839.93,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
41,1-2011-02-12,2/12/2011,2/12/2011,1,"$1,584,083.95 ",0,48.91,3.172,218.7147333,7.866,2,2011,6,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,-313666.67,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
42,1-2011-02-18,2/18/2011,2/18/2011,1,"$1,686,842.78 ",0,57.36,3.045,213.2478853,7.742,2,2011,7,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,-202415.85,1712138.44 ,1638383.99 ,38654.71 ,0.96 ,99265.35 ,0.72 
43,1-2011-02-25,2/25/2011,2/25/2011,1,"$1,456,800.28 ",0,62.9,3.065,213.535609,7.742,2,2011,8,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,54937.9,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
44,1-2011-03-06,3/6/2011,3/6/2011,1,"$1,635,078.41 ",0,83,3.699,215.2736553,7.682,3,2011,9,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,396555.44,1611413.15 ,1618533.30 ,38654.71 ,0.96 ,99265.35 ,0.72 
45,1-2011-03-18,3/18/2011,3/18/2011,1,"$1,576,818.06 ",0,62.76,3.488,214.3627114,7.742,3,2011,11,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,496915.27,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
46,1-2011-03-25,3/25/2011,3/25/2011,1,"$1,541,102.38 ",0,69.97,3.473,214.5999389,7.742,3,2011,12,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,-1020630.19,1549023.66 ,1447400.50 ,38654.71 ,0.96 ,99265.35 ,0.72 
47,1-2011-04-02,4/2/2011,4/2/2011,1,"$1,606,629.58 ",0,42.27,2.989,212.5668812,7.742,4,2011,13,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,127744.74,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
48,1-2011-04-03,4/3/2011,4/3/2011,1,"$1,636,263.41 ",0,59.58,3.288,213.8233327,7.742,4,2011,13,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,-6526.66,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
49,1-2011-04-11,4/11/2011,4/11/2011,1,"$1,697,229.58 ",0,54.98,3.332,217.837382,7.866,4,2011,15,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,-97524.13,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
50,1-2011-04-15,4/15/2011,4/15/2011,1,"$1,559,889.00 ",0,71.27,3.743,215.2918561,7.682,4,2011,15,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,-63608.54,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
51,1-2011-04-22,4/22/2011,4/22/2011,1,"$1,564,819.81 ",0,72.99,3.807,215.4599053,7.682,4,2011,16,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,-10506.11,1567715.00 ,1432495.83 ,38654.71 ,0.96 ,99265.35 ,0.72 
52,1-2011-04-29,4/29/2011,4/29/2011,1,"$1,455,090.69 ",0,72.03,3.81,215.6279544,7.682,4,2011,17,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,233329.91,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
53,1-2011-05-08,5/8/2011,5/8/2011,1,"$1,624,383.75 ",0,91.65,3.684,215.544618,7.962,5,2011,18,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,33854.73,1566194.24 ,1607529.94 ,38654.71 ,0.96 ,99265.35 ,0.72 
54,1-2011-05-13,5/13/2011,5/13/2011,1,"$1,604,775.58 ",0,75.64,3.899,215.9640526,7.682,5,2011,19,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,102758.83,1556711.29 ,1532510.95 ,38654.71 ,0.96 ,99265.35 ,0.72 
55,1-2011-05-20,5/20/2011,5/20/2011,1,"$1,428,218.27 ",0,67.63,3.907,215.7339202,7.682,5,2011,20,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,-230042.5,1391366.50 ,1473642.35 ,38654.71 ,0.96 ,99265.35 ,0.72 
56,1-2011-05-27,5/27/2011,5/27/2011,1,"$1,466,046.67 ",0,77.72,3.786,215.5037878,7.682,5,2011,21,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,178278.13,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
57,1-2011-06-05,6/5/2011,6/5/2011,1,"$1,629,391.28 ",0,64.61,3.906,215.7960035,7.682,6,2011,22,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,-58260.35,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
58,1-2011-06-17,6/17/2011,6/17/2011,1,"$1,532,114.86 ",0,86.41,3.637,214.9980596,7.682,6,2011,24,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,-35715.68,1497472.14 ,1519069.11 ,38654.71 ,0.96 ,99265.35 ,0.72 
59,1-2011-06-24,6/24/2011,6/24/2011,1,"$1,438,830.15 ",0,83.58,3.594,215.0910982,7.682,6,2011,25,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,65527.2,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
60,1-2011-07-01,7/1/2011,7/1/2011,1,"$1,444,732.28 ",0,48.27,2.976,211.4047419,7.742,7,2011,26,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,29633.83,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
61,1-2011-07-10,7/10/2011,7/10/2011,1,"$1,630,989.95 ",0,69.31,3.285,217.0453684,7.866,7,2011,27,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,60966.17,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
62,1-2011-07-15,7/15/2011,7/15/2011,1,"$1,455,119.97 ",0,88.54,3.575,215.3611087,7.962,7,2011,28,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,-137340.58,1440388.85 ,1543895.71 ,38654.71 ,0.96 ,99265.35 ,0.72 
63,1-2011-07-22,7/22/2011,7/22/2011,1,"$1,396,926.82 ",0,85.77,3.651,215.4222784,7.962,7,2011,29,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,4930.81,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
64,1-2011-07-29,7/29/2011,7/29/2011,1,"$1,352,219.79 ",0,86.83,3.682,215.4834482,7.962,7,2011,30,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,-109729.12,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
65,1-2011-08-04,8/4/2011,8/4/2011,1,"$1,614,259.35 ",0,67.84,3.622,215.0743939,7.682,8,2011,31,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,169293.06,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
66,1-2011-08-07,8/7/2011,8/7/2011,1,"$1,534,849.64 ",0,85.83,3.48,215.2771754,7.962,8,2011,31,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,-19608.17,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
67,1-2011-08-19,8/19/2011,8/19/2011,1,"$1,530,761.43 ",0,89.94,3.554,215.6693107,7.962,8,2011,33,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,-176557.31,1547727.20 ,1450855.72 ,38654.71 ,0.96 ,99265.35 ,0.72 
68,1-2011-08-26,8/26/2011,8/26/2011,1,"$1,464,693.46 ",0,87.96,3.523,215.7332258,7.962,8,2011,34,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,37828.4,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
69,1-2011-09-09,9/9/2011,9/9/2011,1,"$1,540,471.24 ",1,76,3.546,215.861056,7.962,9,2011,36,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,163344.61,1609135.67 ,1588328.41 ,38654.71 ,0.96 ,99265.35 ,0.72 
70,1-2011-09-12,9/12/2011,9/12/2011,1,"$1,799,682.38 ",0,43.93,3.158,218.9618456,7.866,9,2011,37,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,-97276.42,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
71,1-2011-09-16,9/16/2011,9/16/2011,1,"$1,514,259.78 ",0,79.94,3.526,216.0410526,7.962,9,2011,37,-285422.6,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,-93284.71,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
72,1-2011-09-23,9/23/2011,9/23/2011,1,"$1,380,020.27 ",0,75.8,3.467,216.3758246,7.962,9,2011,38,-134239.51,-285422.6,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,5902.13,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
73,1-2011-09-30,9/30/2011,9/30/2011,1,"$1,394,561.83 ",0,79.69,3.355,216.7105965,7.962,9,2011,39,14541.56,-134239.51,-285422.6,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,186257.67,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
74,1-2011-10-06,10/6/2011,10/6/2011,1,"$1,588,948.32 ",0,83.13,3.648,215.0435229,7.682,10,2011,40,194386.49,14541.56,-134239.51,-285422.6,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,-175869.98,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
75,1-2011-10-14,10/14/2011,10/14/2011,1,"$1,493,525.93 ",0,71.74,3.274,217.3552733,7.866,10,2011,41,-95422.39,194386.49,14541.56,-134239.51,-285422.6,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,-58193.15,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
76,1-2011-10-21,10/21/2011,10/21/2011,1,"$1,502,562.78 ",0,63.71,3.353,217.5159762,7.866,10,2011,42,9036.85,-95422.39,194386.49,14541.56,-134239.51,-285422.6,259211.14,75777.78,-66067.97,-4088.21,-79409.71,262039.56,-44707.03,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
